gender,event,medal,athlete,abb,country,grp_id,type,year
Men,Double Fita Round Amputee,Gold,LARSEN Finn,DEN,Unknown,-1,Archery,1980
Men,Double Fita Round Amputee,Silver,BRENNE Manfred,FRG,Unknown,-1,Archery,1980
Men,Double Fita Round Amputee,Bronze,SATO Masao,JPN,Unknown,-1,Archery,1980
Men,Double Fita Round Paraplegic,Gold,GEISS H.,FRG,Unknown,-1,Archery,1980
Men,Double Fita Round Paraplegic,Silver,GRUN Guy,BEL,Unknown,-1,Archery,1980
Men,Double Fita Round Paraplegic,Bronze,BUCHANAN J.,GBR,Unknown,-1,Archery,1980
Men,Double Fita Round Tetraplegic,Gold,PARKER T.,CAN,Unknown,-1,Archery,1980
Men,Double Fita Round Tetraplegic,Silver,STEBEKK Oddbjorn,NOR,Unknown,-1,Archery,1980
Men,Double Fita Round Tetraplegic,Bronze,LAFONT G.,FRA,Unknown,-1,Archery,1980
Men,Double Fita Round Novice Paraplegic,Gold,CHAVEZ Alfredo,MEX,Unknown,-1,Archery,1980
Men,Double Fita Round Novice Paraplegic,Silver,WALSTRA Jappie,NED,Unknown,-1,Archery,1980
Men,Double Fita Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,NED,Unknown,-1,Archery,1980
Men,Double Fita Round Novice Tetraplegic,Gold,KARKAINEN K.,FIN,Unknown,-1,Archery,1980
Men,Double Fita Round Novice Tetraplegic,Silver,KISHINO Tadashi,JPN,Unknown,-1,Archery,1980
Men,Double Fita Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,Unknown,-1,Archery,1980
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,Unknown,-1,Archery,1980
Men,Short Metric Round Paraplegic,Silver,ZEISE L.,USA,Unknown,-1,Archery,1980
Men,Short Metric Round Paraplegic,Bronze,THION J.,FRA,Unknown,-1,Archery,1980
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,FRG,Unknown,-1,Archery,1980
Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,Unknown,-1,Archery,1980
Men,Short Metric Round Tetraplegic,Bronze,KRISTIANSEN Svein,NOR,Unknown,-1,Archery,1980
Men,Advanced Metric Round Paraplegic,Gold,KIM Yoon Bae,KOR,Unknown,-1,Archery,1980
Men,Advanced Metric Round Paraplegic,Silver,PETSCHNIG M.,AUT,Unknown,-1,Archery,1980
Men,Advanced Metric Round Paraplegic,Bronze,LETTNER Felix,AUT,Unknown,-1,Archery,1980
Women,Double Fita Round Amputee,Gold,ROSVIK Marie,NOR,Unknown,-1,Archery,1980
Women,Double Fita Round Amputee,Silver,KWIECINSKA Ewa,POL,Unknown,-1,Archery,1980
Women,Double Fita Round Amputee,Bronze,HYBOIS Marie-Francoise,FRA,Unknown,-1,Archery,1980
Women,Double Fita Round Paraplegic,Gold,FAIRHALL Neroli,NZL,Unknown,-1,Archery,1980
Women,Double Fita Round Paraplegic,Silver,KORVA Elli,FIN,Unknown,-1,Archery,1980
Women,Double Fita Round Paraplegic,Bronze,DERSEN Anneliese,FRG,Unknown,-1,Archery,1980
Women,Double Fita Round Novice Paraplegic,Gold,OHMAE Chiyoko,JPN,Unknown,-1,Archery,1980
Women,Double Fita Round Novice Paraplegic,Silver,-,Unknown,Unknown,-1,Archery,1980
Women,Double Fita Round Novice Paraplegic,Bronze,-,Unknown,Unknown,-1,Archery,1980
Women,Short Metric Round Paraplegic,Gold,SCHWEIZER Rosa,AUT,Unknown,-1,Archery,1980
Women,Short Metric Round Paraplegic,Silver,WILLIAMSON Valerie,GBR,Unknown,-1,Archery,1980
Women,Short Metric Round Paraplegic,Bronze,-,Unknown,Unknown,-1,Archery,1980
Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,USA,Unknown,-1,Archery,1980
Women,Advanced Metric Round Paraplegic,Silver,RIMMER Eve M.,NZL,Unknown,-1,Archery,1980
Women,Advanced Metric Round Paraplegic,Bronze,MATTHEWS G.,GBR,Unknown,-1,Archery,1980
Men,Double Fita Round Team Amputee,Gold,BRENNE Manfred,FRG,FR Germany,1,Archery,1980
Men,Double Fita Round Team Amputee,Gold,BUTENHOFF Hilmar,FRG,FR Germany,2,Archery,1980
Men,Double Fita Round Team Amputee,Gold,POHL K.,FRG,FR Germany,3,Archery,1980
Men,Double Fita Round Team Amputee,Silver,APPELKVIST Sune,SWE,Sweden,1,Archery,1980
Men,Double Fita Round Team Amputee,Silver,BABKIN Nicolai,SWE,Sweden,2,Archery,1980
Men,Double Fita Round Team Amputee,Silver,CARSSON Jan O.,SWE,Sweden,3,Archery,1980
Men,Double Fita Round Team Amputee,Bronze,Unknown,Unknown,-,1,Archery,1980
Men,Double Fita Round Team Paraplegic,Gold,BARDOEL Filip,BEL,Belgium,1,Archery,1980
Men,Double Fita Round Team Paraplegic,Gold,GRUN Guy,BEL,Belgium,2,Archery,1980
Men,Double Fita Round Team Paraplegic,Gold,MEYSEN Jozef,BEL,Belgium,3,Archery,1980
Men,Double Fita Round Team Paraplegic,Silver,BUCHANAN J.CORRIE Alan,GBR,Great Britain,1,Archery,1980
Men,Double Fita Round Team Paraplegic,Silver,SMITH I.,GBR,Great Britain,2,Archery,1980
Men,Double Fita Round Team Paraplegic,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,FRG,FR Germany,1,Archery,1980
Men,Double Fita Round C1-C2,Gold,BAREFOOT David,CAN,Unknown,-1,Archery,1984
Men,Double Fita Round C1-C2,Silver,-,Unknown,Unknown,-1,Archery,1984
Men,Double Fita Round C1-C2,Bronze,-,Unknown,Unknown,-1,Archery,1984
Men,"Double Fita Round C3,C6",Gold,THORNE Philip,GBR,Unknown,-1,Archery,1984
Men,"Double Fita Round C3,C6",Silver,-,Unknown,Unknown,-1,Archery,1984
Men,"Double Fita Round C3,C6",Bronze,-,Unknown,Unknown,-1,Archery,1984
Men,Double Fita Round Div. 3,Gold,LOVVOLD Kjell,NOR,Unknown,-1,Archery,1984
Men,Double Fita Round Div. 3,Silver,KUYS Alfons,BEL,Unknown,-1,Archery,1984
Men,Double Fita Round Div. 3,Bronze,TANQUEREL Benoit,FRA,Unknown,-1,Archery,1984
Men,Double Fita Round Integrated,Gold,THULIN Jan,SWE,Unknown,-1,Archery,1984
Men,Double Fita Round Integrated,Silver,REBOLLO Antonio,ESP,Unknown,-1,Archery,1984
Men,Double Fita Round Integrated,Bronze,TIRRONEN Raimo,FIN,Unknown,-1,Archery,1984
Men,Double Fita Round Paraplegic,Gold,GRUN Guy,BEL,Unknown,-1,Archery,1984
Men,Double Fita Round Paraplegic,Silver,WEIJERS J.,NED,Unknown,-1,Archery,1984
Men,Double Fita Round Paraplegic,Bronze,LAUKKANEN Heikki,FIN,Unknown,-1,Archery,1984
Men,Double Fita Round Tetraplegic,Gold,LETTNER Felix,AUT,Unknown,-1,Archery,1984
Men,Double Fita Round Tetraplegic,Silver,KONEMAN K.,NED,Unknown,-1,Archery,1984
Men,Double Fita Round Tetraplegic,Bronze,STEBEKK Oddbjorn,NOR,Unknown,-1,Archery,1984
Men,Double Short Metric Round Paraplegic,Gold,BAUDOIS Michel,SUI,Unknown,-1,Archery,1984
Men,Double Short Metric Round Paraplegic,Silver,KIM H. S.,KOR,Unknown,-1,Archery,1984
Men,Double Short Metric Round Paraplegic,Bronze,DE MASI Pasquale,ITA,Unknown,-1,Archery,1984
Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,SWE,Unknown,-1,Archery,1984
Men,Double Short Metric Round Tetraplegic,Silver,-,Unknown,Unknown,-1,Archery,1984
Men,Double Short Metric Round Tetraplegic,Bronze,-,Unknown,Unknown,-1,Archery,1984
Men,Double Advanced Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,Unknown,-1,Archery,1984
Men,Double Advanced Metric Round Paraplegic,Silver,BOUCHITE C.,FRA,Unknown,-1,Archery,1984
Men,Double Advanced Metric Round Paraplegic,Bronze,KRISHNER Patrick,USA,Unknown,-1,Archery,1984
Men,Double Advanced Metric Round Tetraplegic,Gold,FRANK Gerhard,AUT,Unknown,-1,Archery,1984
Men,Double Advanced Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,Unknown,-1,Archery,1984
Men,Double Advanced Metric Round Tetraplegic,Bronze,ARNOLD Ernest,GBR,Unknown,-1,Archery,1984
Women,Double Fita Round Div. 3,Gold,HILDERLEY Helen,GBR,Unknown,-1,Archery,1984
Women,Double Fita Round Div. 3,Silver,LEAPER Beverley,GBR,Unknown,-1,Archery,1984
Women,Double Fita Round Div. 3,Bronze,-,Unknown,Unknown,-1,Archery,1984
Women,Double Fita Round Integrated,Gold,DERSEN Anneliese,FRG,Unknown,-1,Archery,1984
Women,Double Fita Round Integrated,Silver,LACOMBLEZ Martine,BEL,Unknown,-1,Archery,1984
Women,Double Fita Round Integrated,Bronze,MONACO Irene,ITA,Unknown,-1,Archery,1984
Women,Double Fita Round Paraplegic,Gold,HAGEL Susan,USA,Unknown,-1,Archery,1984
Women,Double Fita Round Paraplegic,Silver,SUZUKI Hifumi,JPN,Unknown,-1,Archery,1984
Women,Double Fita Round Paraplegic,Bronze,DAVIES Susan,AUS,Unknown,-1,Archery,1984
Women,Double Short Metric Round Paraplegic,Gold,BALME M. P.,FRA,Unknown,-1,Archery,1984
Women,Double Short Metric Round Paraplegic,Silver,SCHWEIZER Rosa,AUT,Unknown,-1,Archery,1984
Women,Double Short Metric Round Paraplegic,Bronze,GRAY Anne,GBR,Unknown,-1,Archery,1984
Men,Double Fita Round Team 1A-6,Gold,Unknown,BEL,Belgium,1,Archery,1984
Men,Double Fita Round Team 1A-6,Silver,Unknown,NED,Netherlands,1,Archery,1984
Men,Double Fita Round Team 1A-6,Bronze,Unknown,GBR,Great Britain,1,Archery,1984
Men,Double Fita Round Team Integrated,Gold,AHLINDER S.BABKIN Nicolai,SWE,Sweden,1,Archery,1984
Men,Double Fita Round Team Integrated,Gold,TJERNELL Arne,SWE,Sweden,2,Archery,1984
Men,Double Fita Round Team Integrated,Silver,DUCRET Rene,FRA,France,1,Archery,1984
Men,Double Fita Round Team Integrated,Silver,HAMART George,FRA,France,2,Archery,1984
Men,Double Fita Round Team Integrated,Silver,LELON Daniel,FRA,France,3,Archery,1984
Men,Double Fita Round Team Integrated,Bronze,BOECKERS Manfred,FRG,FR Germany,1,Archery,1984
Men,Double Fita Round Team Integrated,Bronze,BRENNE Manfred,FRG,FR Germany,2,Archery,1984
Men,Double Fita Round Team Integrated,Bronze,BUTENHOFF Kilmar,FRG,FR Germany,3,Archery,1984
Men,Short Metric Round Team 1A-6,Gold,Unknown,FRA,France,1,Archery,1984
Men,Short Metric Round Team 1A-6,Silver,Unknown,AUS,Australia,1,Archery,1984
Men,Short Metric Round Team 1A-6,Bronze,Unknown,GBR,Great Britain,1,Archery,1984
Men,Double Advanced Metric Round Team 1A-6,Gold,Unknown,FRA,France,1,Archery,1984
Men,Double Advanced Metric Round Team 1A-6,Silver,Unknown,Unknown,-,1,Archery,1984
Men,Double Advanced Metric Round Team 1A-6,Bronze,Unknown,Unknown,-,1,Archery,1984
Men,"Single Fita Round C7,C8",Gold,KUYS Alfons,BEL,Unknown,-1,Archery,1988
Men,"Single Fita Round C7,C8",Silver,TASHIRO Kiyotaka,JPN,Unknown,-1,Archery,1988
Men,"Single Fita Round C7,C8",Bronze,KIM Kyung Sun,KOR,Unknown,-1,Archery,1988
Men,Double Fita Round Open,Gold,AN Tae Sung,KOR,Unknown,-1,Archery,1988
Men,Double Fita Round Open,Silver,SCALISI Carmelo,BEL,Unknown,-1,Archery,1988
Men,Double Fita Round Open,Bronze,REBOLLO Antonio,ESP,Unknown,-1,Archery,1988
Men,Double Fita Round 2-6,Gold,BAUDOIS Michel,SUI,Unknown,-1,Archery,1988
Men,Double Fita Round 2-6,Silver,KIM Hee Sook,KOR,Unknown,-1,Archery,1988
Men,Double Fita Round 2-6,Bronze,WOLF Udo,FRG,Unknown,-1,Archery,1988
Men,Double Short Metric Round 1A-1C,Gold,RANTAVOURI Martti,FIN,Unknown,-1,Archery,1988
Men,Double Short Metric Round 1A-1C,Silver,FUJII Narumi,JPN,Unknown,-1,Archery,1988
Men,Double Short Metric Round 1A-1C,Bronze,STAUNER Michael,USA,Unknown,-1,Archery,1988
Women,Double Fita Round Open,Gold,LEE Kyung Hee,KOR,Unknown,-1,Archery,1988
Women,Double Fita Round Open,Silver,DERSEN Anneliese,FRG,Unknown,-1,Archery,1988
Women,Double Fita Round Open,Bronze,MORGENSEN Birthe,DEN,Unknown,-1,Archery,1988
Women,Double Fita Round 2-6,Gold,WATTS Karen,GBR,Unknown,-1,Archery,1988
Women,Double Fita Round 2-6,Silver,KORVA Elli,FIN,Unknown,-1,Archery,1988
Women,Double Fita Round 2-6,Bronze,FANTATO Paola,ITA,Unknown,-1,Archery,1988
Men,Double Fita Round Team Open,Gold,AN Tae Sung,KOR,Korea,1,Archery,1988
Men,Double Fita Round Team Open,Gold,CHO Hyun Kwan,KOR,Korea,2,Archery,1988
Men,Double Fita Round Team Open,Gold,KIM Sung Hee,KOR,Korea,3,Archery,1988
Men,Double Fita Round Team Open,Gold,LEE Hak Young,KOR,Korea,4,Archery,1988
Men,Double Fita Round Team Open,Silver,KALLUNKI Keijo,FIN,Finland,1,Archery,1988
Men,Double Fita Round Team Open,Silver,TIRRONEN Raimo,FIN,Finland,2,Archery,1988
Men,Double Fita Round Team Open,Silver,VIINIKKA Veijo,FIN,Finland,3,Archery,1988
Men,Double Fita Round Team Open,Bronze,COURTILLON Lucien,FRA,France,1,Archery,1988
Men,Double Fita Round Team Open,Bronze,FAVRE Jean-Michel,FRA,France,2,Archery,1988
Men,Double Fita Round Team Open,Bronze,LELOU Daniel,FRA,France,3,Archery,1988
Men,Double Fita Round Team 2-6,Gold,JANG Ki Ki,KOR,Korea,1,Archery,1988
Men,Double Fita Round Team 2-6,Gold,KIM Hee Sook,KOR,Korea,2,Archery,1988
Men,Double Fita Round Team 2-6,Gold,KIM Ho Sung,KOR,Korea,3,Archery,1988
Men,Double Fita Round Team 2-6,Gold,YOON Choon Heung,KOR,Korea,4,Archery,1988
Men,Double Fita Round Team 2-6,Silver,AMADI Fabio,ITA,Italy,1,Archery,1988
Men,Double Fita Round Team 2-6,Silver,GABELLI Giuseppe,ITA,Italy,2,Archery,1988
Men,Double Fita Round Team 2-6,Silver,KOTEN Giuliano,ITA,Italy,3,Archery,1988
Men,Double Fita Round Team 2-6,Silver,PIZZORNI Orazio,ITA,Italy,4,Archery,1988
Men,Double Fita Round Team 2-6,Bronze,INOUE Yoshihiro,JPN,Japan,1,Archery,1988
Men,Double Fita Round Team 2-6,Bronze,OKANISHI Michio,JPN,Japan,2,Archery,1988
Men,Double Fita Round Team 2-6,Bronze,UCHIYAMA Junji,JPN,Japan,3,Archery,1988
Men,Double Fita Round Team 2-6,Bronze,YOSHIDA Shigetoshi,JPN,Japan,4,Archery,1988
Women,Double Fita Round Team 2-6,Gold,ANIC Wilma,GBR,Great Britain,1,Archery,1988
Women,Double Fita Round Team 2-6,Gold,COOPER Joan,GBR,Great Britain,2,Archery,1988
Women,Double Fita Round Team 2-6,Gold,WATTS Karen,GBR,Great Britain,3,Archery,1988
Women,Double Fita Round Team 2-6,Silver,DROSDZIOK Ursula,FRG,FR Germany,1,Archery,1988
Women,Double Fita Round Team 2-6,Silver,ENZMANN Inge,FRG,FR Germany,2,Archery,1988
Women,Double Fita Round Team 2-6,Silver,KIEBLICH Karin,FRG,FR Germany,3,Archery,1988
Women,Double Fita Round Team 2-6,Bronze,COLLIN Sirkka Liisa,FIN,Finland,1,Archery,1988
Women,Double Fita Round Team 2-6,Bronze,JOKIVIRTA Hilkka,FIN,Finland,2,Archery,1988
Women,Double Fita Round Team 2-6,Bronze,KORVA Elli,FIN,Finland,3,Archery,1988
Men,Individual Ar1,Gold,MINAMI Koichi,JPN,Unknown,-1,Archery,1992
Men,Individual Ar1,Silver,SPIZZIRRI Richard,USA,Unknown,-1,Archery,1992
Men,Individual Ar1,Bronze,MERCANDELLI Giampiero,ITA,Unknown,-1,Archery,1992
Men,Individual Ar2,Gold,PIZZORNI Orazio,ITA,Unknown,-1,Archery,1992
Men,Individual Ar2,Silver,NORTMANN Hermann,GER,Unknown,-1,Archery,1992
Men,Individual Ar2,Bronze,WOLF Udo,GER,Unknown,-1,Archery,1992
Men,Individual Open,Gold,FUDGE Jens,DEN,Unknown,-1,Archery,1992
Men,Individual Open,Silver,NISHII Kenichi,JPN,Unknown,-1,Archery,1992
Men,Individual Open,Bronze,CHO Hyun Kwan,KOR,Unknown,-1,Archery,1992
Women,Individual Ar2,Gold,FANTATO Paola,ITA,Unknown,-1,Archery,1992
Women,Individual Ar2,Silver,KORVA Elli,FIN,Unknown,-1,Archery,1992
Women,Individual Ar2,Bronze,SUZUKI Hifumi,JPN,Unknown,-1,Archery,1992
Women,Individual Open,Gold,GRISHKO Tatiana,EUN,Unknown,-1,Archery,1992
Women,Individual Open,Silver,THULIN Siv,SWE,Unknown,-1,Archery,1992
Women,Individual Open,Bronze,TVED Hanne,DEN,Unknown,-1,Archery,1992
Men,Teams Ar2,Gold,BAHLS Karl,GER,Germany,1,Archery,1992
Men,Teams Ar2,Gold,NORTMANN Hermann,GER,Germany,2,Archery,1992
Men,Teams Ar2,Gold,WOLF Udo,GER,Germany,3,Archery,1992
Men,Teams Ar2,Silver,GABELLI Giuseppe,ITA,Italy,1,Archery,1992
Men,Teams Ar2,Silver,MALOVINI Luciano,ITA,Italy,2,Archery,1992
Men,Teams Ar2,Silver,PIZZORNI Orazio,ITA,Italy,3,Archery,1992
Men,Teams Ar2,Bronze,CHOI Jang Sub,KOR,Korea,1,Archery,1992
Men,Teams Ar2,Bronze,JANG Ki Ki,KOR,Korea,2,Archery,1992
Men,Teams Ar2,Bronze,LEE Ouk Soo,KOR,Korea,3,Archery,1992
Men,Teams Open,Gold,CHO Hyun Kwan,KOR,Korea,1,Archery,1992
Men,Teams Open,Gold,KIM Sung Hee,KOR,Korea,2,Archery,1992
Men,Teams Open,Gold,LEE Hak Young,KOR,Korea,3,Archery,1992
Men,Teams Open,Silver,FERNANDEZ Jose,ESP,Spain,1,Archery,1992
Men,Teams Open,Silver,HERMOSIN Jose Luis,ESP,Spain,2,Archery,1992
Men,Teams Open,Silver,REBOLLO Antonio,ESP,Spain,3,Archery,1992
Men,Teams Open,Bronze,FAVRE Jean-Michel,FRA,France,1,Archery,1992
Men,Teams Open,Bronze,GARCIA Jean Francois,FRA,France,2,Archery,1992
Men,Teams Open,Bronze,LE BRAS Rene,FRA,France,3,Archery,1992
Men,Individual W1,Gold,RANTAVOURI Martti,FIN,Unknown,-1,Archery,1996
Men,Individual W1,Silver,MACCAFERRI Kurt,SUI,Unknown,-1,Archery,1996
Men,Individual W1,Bronze,MINAMI Koichi,JPN,Unknown,-1,Archery,1996
Men,Individual W2,Gold,LEE Ouk Soo,KOR,Unknown,-1,Archery,1996
Men,Individual W2,Silver,WALSTRA Jappie,NED,Unknown,-1,Archery,1996
Men,Individual W2,Bronze,WOLF Udo,GER,Unknown,-1,Archery,1996
Men,Individual Standing,Gold,OLEJNIK Ryszard,POL,Unknown,-1,Archery,1996
Men,Individual Standing,Silver,GARCIA Jean Francois,FRA,Unknown,-1,Archery,1996
Men,Individual Standing,Bronze,AN Tae Sung,KOR,Unknown,-1,Archery,1996
Women,Individual W2,Gold,SUZUKI Hifumi,JPN,Unknown,-1,Archery,1996
Women,Individual W2,Silver,TRUCCOLO Sandra,ITA,Unknown,-1,Archery,1996
Women,Individual W2,Bronze,FANTATO Paola,ITA,Unknown,-1,Archery,1996
Women,Individual Standing,Gold,OLEJNIK Malgorzata,POL,Unknown,-1,Archery,1996
Women,Individual Standing,Silver,CHAPMAN Anita,GBR,Unknown,-1,Archery,1996
Women,Individual Standing,Bronze,HYBOIS Marie-Francoise,FRA,Unknown,-1,Archery,1996
Men,Teams W1/W2,Gold,NORTMANN Hermann,GER,Germany,1,Archery,1996
Men,Teams W1/W2,Gold,OEHME Mario,GER,Germany,2,Archery,1996
Men,Teams W1/W2,Gold,WOLF Udo,GER,Germany,3,Archery,1996
Men,Teams W1/W2,Silver,GABELLI Giuseppe,ITA,Italy,1,Archery,1996
Men,Teams W1/W2,Silver,MAI Marco,ITA,Italy,2,Archery,1996
Men,Teams W1/W2,Silver,MALOVINI Luciano,ITA,Italy,3,Archery,1996
Men,Teams W1/W2,Bronze,LEE Ouk Soo,KOR,Korea,1,Archery,1996
Men,Teams W1/W2,Bronze,OH Doo,KOR,Korea,2,Archery,1996
Men,Teams W1/W2,Bronze,YOU In,KOR,Korea,3,Archery,1996
Men,Teams Standing,Gold,AN Tae Sung,KOR,Korea,1,Archery,1996
Men,Teams Standing,Gold,CHO Hyeon,KOR,Korea,2,Archery,1996
Men,Teams Standing,Gold,LEE Hak Young,KOR,Korea,3,Archery,1996
Men,Teams Standing,Silver,JONSKI Stanislaw,POL,Poland,1,Archery,1996
Men,Teams Standing,Silver,LEZANSKI Tomasz,POL,Poland,2,Archery,1996
Men,Teams Standing,Silver,OLEJNIK Ryszard,POL,Poland,3,Archery,1996
Men,Teams Standing,Bronze,ISHIDA Mitoya,JPN,Japan,1,Archery,1996
Men,Teams Standing,Bronze,NISHII Kenichi,JPN,Japan,2,Archery,1996
Men,Teams Standing,Bronze,SATO Masao,JPN,Japan,3,Archery,1996
Women,Teams Open,Gold,FANTATO Paola,ITA,Italy,1,Archery,1996
Women,Teams Open,Gold,LAZZARONI Roberta,ITA,Italy,2,Archery,1996
Women,Teams Open,Gold,TRUCCOLO Sandra,ITA,Italy,3,Archery,1996
Women,Teams Open,Silver,MATSUEDA Shigeko,JPN,Japan,1,Archery,1996
Women,Teams Open,Silver,SUZUKI Hifumi,JPN,Japan,2,Archery,1996
Women,Teams Open,Silver,YONEZAWA Masako,JPN,Japan,3,Archery,1996
Women,Teams Open,Bronze,CHAPMAN Anita,GBR,Great Britain,1,Archery,1996
Women,Teams Open,Bronze,GALE Rebecca,GBR,Great Britain,2,Archery,1996
Women,Teams Open,Bronze,SMITH Kathleen,GBR,Great Britain,3,Archery,1996
